id	directions_proven	argument_schema_recovered	panel_applicability	ghidra_evidence_locator	confidence
1	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelPower; count-forwarded | get out:std::vector<u32>* -> GetDisplayPanelPower	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081d4:id=1;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001083e6:id=1	direction=high;packing=high;handler-schema=medium;panel=unknown
2	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelPower; count-forwarded | get out:std::vector<u32>* -> GetDisplayPanelPower	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081d6:id=2;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001083e8:id=2	direction=high;packing=high;handler-schema=medium;panel=unknown
3	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelPower; count-forwarded | get out:std::vector<u32>* -> GetDisplayPanelPower	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081d8:id=3;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001083ea:id=3	direction=high;packing=high;handler-schema=medium;panel=unknown
4	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelSeed; count-forwarded | get out:std::vector<u32>* -> GetDisplayPanelSeed	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081da:id=4;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001083ec:id=4	direction=high;packing=high;handler-schema=medium;panel=unknown
5	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelId	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001083ee:id=5	direction=high;packing=high;handler-schema=medium;panel=unknown
6	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelFfl; count-forwarded | get out:std::vector<u32>* -> GetDisplayPanelFfl	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081de:id=6;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001083f0:id=6	direction=high;packing=high;handler-schema=medium;panel=unknown
7	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelAod; count-forwarded | get out:std::vector<u32>* -> GetDisplayPanelAod	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081e0:id=7;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001083f2:id=7	direction=high;packing=high;handler-schema=medium;panel=unknown
8	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelMaxBrightness; count-forwarded | get out:std::vector<u32>* -> GetDisplayPanelMaxBrightness	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081e2:id=8;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001083f4:id=8	direction=high;packing=high;handler-schema=medium;panel=unknown
10	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelCCDCheck	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001083f8:id=10	direction=high;packing=high;handler-schema=medium;panel=unknown
12	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelHBM; count-forwarded | get out:std::vector<u32>* -> GetDisplayPanelHBM	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081ea:id=12;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001083fc:id=12	direction=high;packing=high;handler-schema=medium;panel=unknown
13	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelDimAlpha; count-forwarded | get out:std::vector<u32>* -> GetDisplayPanelDimAlpha	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081ec:id=13;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@001083fe:id=13	direction=high;packing=high;handler-schema=medium;panel=unknown
14	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelDimDCAlpha; count-forwarded | get out:std::vector<u32>* -> GetDisplayPanelDimDCAlpha	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081ee:id=14;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108400:id=14	direction=high;packing=high;handler-schema=medium;panel=unknown
15	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelAudioReady; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081f0:id=15	direction=high;packing=high;handler-schema=medium;panel=unknown
16	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelDumpInfo	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108404:id=16	direction=high;packing=high;handler-schema=medium;panel=unknown
17	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelDSC	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108406:id=17	direction=high;packing=high;handler-schema=medium;panel=unknown
18	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelPowerStatus; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelPowerStatus	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081f6:id=18;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108408:id=18	direction=high;packing=high;handler-schema=medium;panel=unknown
19	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelRC; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081f8:id=19	direction=high;packing=high;handler-schema=medium;panel=unknown
20	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelCloseBLFlag; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelCloseBLFlag	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081fa:id=20;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010840c:id=20	direction=high;packing=high;handler-schema=medium;panel=unknown
21	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelReg; count-forwarded | get out:std::vector<u32>* -> GetDisplayPanelReg	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081fc:id=21;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010840e:id=21	direction=high;packing=high;handler-schema=medium;panel=unknown
22	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelDimlayHBM; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelDimlayHBM	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@001081fe:id=22;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108410:id=22	direction=high;packing=high;handler-schema=medium;panel=unknown
23	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelDimlayerBLEN; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelDimlayerBLEN	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108200:id=23;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108412:id=23	direction=high;packing=high;handler-schema=medium;panel=unknown
24	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelBlank; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108202:id=24	direction=high;packing=high;handler-schema=medium;panel=unknown
